map_name,model,h,p,r,x,y,z,scale,parent_name,parent_index,props
gandg2,models_collision/point,0.0,0.0,0.0,161.0,160.0,25.0980415344238,1.0,quadA4,3,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,303.0,405.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,301.0,405.0,25.0980434417725,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,299.0,405.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,297.0,405.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,295.0,405.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,293.0,405.0,25.0980434417725,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,291.0,405.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,289.0,405.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,287.0,405.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,285.0,405.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,283.0,405.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,281.0,405.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,281.0,385.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,283.0,385.0,25.0980453491211,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,285.0,385.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,90.0,0.0,0.0,304.0,404.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,90.0,0.0,0.0,304.0,402.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,90.0,0.0,0.0,304.0,400.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,90.0,0.0,0.0,304.0,398.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,90.0,0.0,0.0,304.0,396.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,90.0,0.0,0.0,304.0,394.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,90.0,0.0,0.0,304.0,392.0,25.237850189209,1.0,quadD3,14,
gandg2,models/pyweek_wall1,90.0,0.0,0.0,280.0,404.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_gate,90.0,0.0,0.0,280.0,399.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,90.0,0.0,0.0,280.0,398.0,25.0980415344238,1.0,quadD3,14,
